12:45:11.052115;MQTT;Receive;USS/TS/VC/;Started
12:45:13.396012;MQTT;Send;USS/SS/FwdCam/Health/;65,27,92.6,Started,Started,NotStarted,Heartbeat,no
12:45:16.410552;MQTT;Send;USS/SS/FwdCam/Health/;65,27,85.6,Started,Started,NotStarted,Heartbeat,no
12:45:19.433435;MQTT;Send;USS/SS/FwdCam/Health/;65,27,91.8,Started,Started,NotStarted,Heartbeat,no
12:45:22.465833;MQTT;Send;USS/SS/FwdCam/Health/;65,27,82.0,Started,Started,NotStarted,Heartbeat,no
12:45:25.485337;MQTT;Send;USS/SS/FwdCam/Health/;65,27,50.7,Started,Started,NotStarted,Heartbeat,no
12:45:28.487926;MQTT;Send;USS/SS/FwdCam/Health/;65,27,26.7,Started,Started,NotStarted,Heartbeat,no
12:45:31.504296;MQTT;Send;USS/SS/FwdCam/Health/;65,27,33.8,Started,Started,NotStarted,Heartbeat,no
12:45:32.567745;MQTT;Receive;USS/TS/VC/;Started
12:45:34.511309;MQTT;Send;USS/SS/FwdCam/Health/;65,27,94.5,Started,Started,NotStarted,Heartbeat,no
12:45:37.518688;MQTT;Send;USS/SS/FwdCam/Health/;65,27,79.5,Started,Started,NotStarted,Heartbeat,no
12:45:40.529148;MQTT;Send;USS/SS/FwdCam/Health/;65,27,93.3,Started,Started,NotStarted,Heartbeat,no
12:45:43.565752;MQTT;Send;USS/SS/FwdCam/Health/;65,27,39.3,Started,Started,NotStarted,Heartbeat,no
12:45:46.575349;MQTT;Send;USS/SS/FwdCam/Health/;65,27,29.9,Started,Started,NotStarted,Heartbeat,no
12:45:49.591970;MQTT;Send;USS/SS/FwdCam/Health/;65,27,28.3,Started,Started,NotStarted,Heartbeat,no
12:45:52.601110;MQTT;Send;USS/SS/FwdCam/Health/;65,27,27.9,Started,Started,NotStarted,Heartbeat,no
12:45:55.610661;MQTT;Send;USS/SS/FwdCam/Health/;65,27,25.7,Started,Started,NotStarted,Heartbeat,no
12:45:58.627314;MQTT;Send;USS/SS/FwdCam/Health/;65,27,33.3,Started,Started,NotStarted,Heartbeat,no
